City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Ayan,2,RU,1584160843,64,56.45,138.17,10.85,7.36
Linjiang,67,CN,1584160843,68,41.81,126.91,28.2,11.56
Winneba,20,GH,1584160843,88,5.35,-0.62,82.4,11.41
Antalaha,100,MG,1584160844,84,-14.9,50.28,81.05,27.67
Port Lincoln,56,AU,1584160844,60,-34.73,135.87,63.37,18.39
Santa Cruz de La Palma,75,ES,1584160844,77,28.68,-17.76,64.4,10.29
Ossora,100,RU,1584160844,91,59.24,163.07,30.02,30.09
Pachino,88,IT,1584160844,75,36.72,15.09,57.0,5.82
Santa Rosa,20,PH,1584160844,46,14.31,121.11,91.99,6.93
Kostino,100,RU,1584160844,86,58.91,53.27,33.51,12.12
Karasjok,0,NO,1584160844,78,69.47,25.51,8.6,27.51
Nouadhibou,0,MR,1584160844,77,20.93,-17.03,66.2,8.05
Khuzdar,0,PK,1584160845,16,27.74,66.64,60.12,1.63
Lata,75,PT,1584160845,93,40.16,-8.33,52.0,2.24
Palmer,1,US,1584160845,48,42.16,-72.33,44.6,10.29
Bonavista,100,CA,1584160395,73,48.65,-53.11,27.0,13.0
Lipin Bor,94,RU,1584160845,76,60.26,37.98,22.33,11.74
Wuzhou,11,CN,1584160674,52,23.48,111.32,74.77,5.64
Dunedin,8,NZ,1584160845,67,-45.87,170.5,64.0,8.99
Ugoofaaru,0,MV,1584160845,75,5.67,73.0,84.11,14.07
Lokosovo,100,RU,1584160774,92,61.13,74.82,35.49,12.26
Kovdor,97,RU,1584160618,94,67.57,30.48,4.96,6.87
Campbell River,20,CA,1584160846,36,50.02,-125.24,35.6,8.05
Sitka,75,US,1584160846,47,57.05,-135.33,35.6,17.22
Staunton,1,US,1584160846,25,38.15,-79.07,60.8,11.41
Ajdabiya,56,LY,1584160846,82,30.76,20.23,61.95,13.33
Victor Harbor,20,AU,1584160846,30,-35.57,138.62,69.8,19.46
Kedrovyy,98,RU,1584160846,48,56.17,91.82,39.2,2.24
Pīpri,17,IN,1584160846,27,19.8,75.53,77.0,5.82
Narrabri,0,AU,1584160846,30,-30.32,149.78,82.99,14.99
Miramar,40,US,1584160846,78,25.99,-80.23,75.99,8.05
Kondinskoye,100,RU,1584160752,95,59.65,67.41,36.43,13.8
Stornoway,100,GB,1584160847,75,58.21,-6.39,42.8,23.04
Goderich,33,CA,1584160847,76,43.75,-81.72,36.0,15.99
Aksu,1,CN,1584160744,14,41.12,80.26,52.25,7.31
Flin Flon,92,CA,1584160847,98,54.77,-101.86,-2.06,4.16
Cartaya,28,ES,1584160847,90,37.28,-7.15,55.0,1.01
Panjāb,0,AF,1584160847,52,34.39,67.02,21.76,4.47
Tsuyama,75,JP,1584160847,61,35.05,134.0,54.0,6.93
Alofi,100,NU,1584160848,88,-19.06,-169.92,80.6,4.7
Manokwari,68,ID,1584160520,90,-0.87,134.08,75.47,6.78
Puerto Peñasco,0,MX,1584160848,77,31.32,-113.53,64.0,13.0
Beloha,48,MG,1584160622,58,-25.17,45.05,81.19,11.61
Chełmża,17,PL,1584160848,73,53.18,18.6,33.01,12.75
Rocha,0,UY,1584160514,78,-34.48,-54.33,68.18,12.08
Aykhal,33,RU,1584160770,70,66.0,111.5,-5.8,8.95
Arequipa,75,PE,1584160848,93,-16.4,-71.53,57.2,3.36
Nogliki,70,RU,1584160848,74,51.83,143.17,17.31,7.25
Jinchang,0,CN,1584160849,22,38.5,102.17,40.57,9.35
Ponta do Sol,75,PT,1584160849,63,32.67,-17.1,60.8,11.41
Zunyi,100,CN,1584160849,70,27.69,106.91,56.37,2.68
Tevaitoa,67,PF,1584160849,79,-16.78,-151.5,83.28,16.71
Nishiwaki,75,JP,1584160849,81,34.98,134.97,51.01,4.7
Arrondissement de Saint-Denis,90,FR,1584160849,70,48.92,2.33,45.0,5.82
Balassagyarmat,20,HU,1584160849,74,48.07,19.3,39.0,3.36
Lashio,18,MM,1584160849,17,22.93,97.75,92.28,5.03
Mbanza-Ngungu,82,CD,1584160850,93,-5.25,14.87,72.73,1.36
Meulaboh,0,ID,1584160850,73,4.14,96.13,83.86,3.42
Fort Nelson,20,CA,1584160850,58,58.81,-122.7,-2.2,3.36
Banda Aceh,0,ID,1584160850,50,5.56,95.32,90.23,7.34
Mildura,0,AU,1584160741,24,-34.2,142.15,73.4,17.22
Gushikawa,75,JP,1584160677,77,26.35,127.87,64.4,27.51
Petropavlovsk-Kamchatskiy,40,RU,1584160850,55,53.05,158.65,33.8,13.42
Areosa,11,PT,1584160850,93,41.72,-8.86,51.01,5.82
Mount Gambier,35,AU,1584160781,42,-37.83,140.77,64.4,18.34
Naze,75,JP,1584160851,67,28.37,129.48,64.4,14.99
Beloeil,90,CA,1584160566,59,45.57,-73.2,39.0,28.86
Ketchikan,1,US,1584160771,36,55.34,-131.65,32.0,8.05
Port Hardy,20,CA,1584160851,37,50.7,-127.42,35.6,24.16
Nizhniy Tsasuchey,23,RU,1584160851,48,50.52,115.13,31.98,19.04
Yārāda,20,IN,1584160851,62,17.65,83.27,84.2,4.7
Saldanha,33,ZA,1584160851,88,-33.01,17.94,62.6,5.82
Kangaatsiaq,100,GL,1584160851,90,68.31,-53.46,3.88,14.41
Richards Bay,83,ZA,1584160540,87,-28.78,32.04,76.64,15.68
Sittwe,13,MM,1584160851,55,20.15,92.9,83.98,9.46
Belmonte,40,BR,1584160852,88,-15.86,-38.88,75.2,3.36
Puerto Escondido,20,MX,1584160232,88,15.85,-97.07,80.6,5.82
Kabalo,100,CD,1584160852,94,-6.05,26.92,70.66,1.88
Vestmannaeyjar,2,IS,1584160852,75,63.44,-20.27,25.63,23.02
Luangwa,98,ZM,1584160852,76,-15.62,30.42,75.99,1.39
Huron,1,US,1584160852,44,41.15,-82.55,39.2,12.75
Isla Vista,90,US,1584160800,81,34.41,-119.86,55.99,3.36
Moose Factory,90,CA,1584160853,85,51.26,-80.61,15.8,21.92
Husavik,90,IS,1584160853,68,66.04,-17.34,26.6,21.92
Geraldton,90,AU,1584160853,43,-28.77,114.6,88.0,10.29
Zhigansk,82,RU,1584160619,92,66.77,123.37,-5.37,5.99
Rabo de Peixe,20,PT,1584160853,81,37.8,-25.58,53.6,6.93
Sangar,100,RU,1584160853,92,63.92,127.47,-2.15,8.5
Umeå,0,SE,1584160853,67,63.83,20.26,19.4,13.87
Dajabón,29,DO,1584160853,90,19.55,-71.71,69.01,1.01
Kurtamysh,100,RU,1584160853,99,54.91,64.43,36.61,19.04
Chunoyar,85,RU,1584160854,100,57.45,97.32,32.47,5.95
Ende,65,ID,1584160854,69,-8.84,121.66,84.78,6.42
Lydenburg,0,ZA,1584160854,96,-25.1,30.46,66.0,3.0
Basco,49,PH,1584160854,87,20.45,121.97,75.06,22.03
Encheng,73,CN,1584160854,58,22.18,112.3,73.99,12.66
Peterhead,90,GB,1584160854,75,57.51,-1.8,42.01,19.46
Vanimo,98,PG,1584160517,76,-2.67,141.3,82.96,13.35
Kwang Binh,99,VN,1584160854,89,17.48,106.6,75.54,8.34
Beira,40,MZ,1584160854,94,-19.84,34.84,75.2,4.7
Asău,40,RO,1584160855,93,46.43,26.4,39.2,2.24
Batticaloa,6,LK,1584160855,51,7.71,81.69,87.75,6.91
Mbeya,100,TZ,1584160706,96,-8.9,33.45,63.18,3.67
Usinsk,100,RU,1584160855,95,65.99,57.53,23.07,13.31
Los Llanos de Aridane,75,ES,1584160855,77,28.66,-17.92,64.4,10.29
At-Bashi,100,KG,1584160855,48,41.17,75.81,19.31,0.58
Sur,96,OM,1584160855,18,22.57,59.53,78.6,4.25
Yerbogachën,74,RU,1584160534,90,61.28,108.01,14.74,10.22
Rāmāpuram,20,IN,1584160855,65,13.12,79.2,82.4,4.7
Adelaide,20,AU,1584160717,30,-34.93,138.6,72.0,19.46
Ca Mau,48,VN,1584160856,32,9.18,105.15,96.1,12.1
San Blas,99,MX,1584160856,75,21.52,-105.27,75.36,4.38
Am Timan,57,TD,1584160702,17,11.03,20.28,70.72,5.35
Bosaso,81,SO,1584160856,73,11.28,49.18,78.28,12.55
Moanda,70,GA,1584160856,85,-1.56,13.22,72.88,1.79
Dhidhdhoo,0,MV,1584160856,78,6.88,73.1,83.41,12.75
Yatou,0,CN,1584160856,36,37.15,122.38,50.2,17.63
Al Bardīyah,0,LY,1584160856,86,31.76,25.09,60.69,16.58
Nexø,0,DK,1584160857,64,55.06,15.13,33.8,8.05
Caxito,40,AO,1584160857,88,-8.58,13.66,80.6,4.7
Tuzamapan,17,MX,1584160857,87,19.4,-96.85,56.73,2.93
Tabuk,31,PH,1584160857,52,17.42,121.44,87.53,8.08
Vila Velha,75,BR,1584160771,94,-20.33,-40.29,75.2,3.36
Pishin,63,PK,1584160857,31,30.58,67.0,52.99,3.09
Makar'yev,99,RU,1584160857,86,57.88,43.81,34.56,9.42
Port-Gentil,94,GA,1584160857,79,-0.72,8.78,83.37,6.82
Conde,75,BR,1584160830,94,-7.26,-34.91,75.2,10.29
Loksa,90,EE,1584160858,68,59.58,25.72,28.0,8.05
Polunochnoye,83,RU,1584160858,84,60.87,60.42,35.85,8.66
Warrnambool,83,AU,1584160858,51,-38.38,142.48,64.0,16.42
Loviisa,17,FI,1584160858,73,60.46,26.23,19.4,8.05
Lodja,100,CD,1584160858,98,-3.48,23.43,68.72,2.13
Masterton,0,NZ,1584160858,53,-40.96,175.66,77.0,10.0
Chapais,90,CA,1584160858,85,49.78,-74.85,24.8,20.8
Burayevo,97,RU,1584160858,87,55.84,55.41,35.08,18.12
Reconquista,50,AR,1584160858,45,-29.15,-59.65,81.46,7.05
Lábrea,100,BR,1584160859,96,-7.26,-64.8,74.44,0.92
Salinópolis,86,BR,1584160464,79,-0.61,-47.36,81.7,15.32
Sørland,95,NO,1584160723,57,67.67,12.69,30.29,13.27
Porto-Vecchio,40,FR,1584160859,100,41.59,9.28,57.2,15.97
Nuuk,97,GL,1584160859,72,64.18,-51.72,10.4,12.75
São João da Barra,4,BR,1584160859,88,-21.64,-41.05,77.13,3.78
Huallanca,99,PE,1584160859,96,-9.9,-76.94,38.37,4.65
Finnsnes,75,NO,1584160859,85,69.23,17.98,19.4,12.75
Itaqui,15,BR,1584160650,39,-29.13,-56.55,81.52,7.09
La Libertad,90,EC,1584160860,83,-2.23,-80.9,78.85,4.52
Mansehra,90,PK,1584160860,40,34.33,73.2,57.76,2.68
Gualeguay,0,AR,1584160860,44,-33.14,-59.31,80.78,7.78
Tottori-shi,75,JP,1584160860,81,35.5,134.23,46.4,18.34
Harper,18,LR,1584160860,96,4.38,-7.72,76.77,2.59
Iracoubo,52,GF,1584160860,80,5.48,-53.2,79.88,17.87
Powell River,20,CA,1584160860,34,49.85,-124.54,39.0,14.99
Lexington-Fayette,1,US,1584160860,52,38.05,-84.46,45.0,5.82
Vesele,99,UA,1584160860,74,47.01,34.91,45.1,12.62
Curumaní,52,CO,1584160599,84,9.2,-73.54,69.55,5.06
Sioux Lookout,75,CA,1584160861,72,50.1,-91.92,10.4,8.05
Kota Bharu,40,MY,1584160861,66,6.13,102.24,89.6,9.17
Pandan,44,PH,1584160861,77,14.05,124.17,81.12,15.37
Magistral'nyy,95,RU,1584160861,91,56.17,107.45,31.32,5.57
Chekhov,20,RU,1584160861,82,55.14,37.47,39.0,6.71
Baie-Comeau,100,CA,1584160733,100,49.22,-68.15,32.0,13.87
Pooler,75,US,1584160861,77,32.12,-81.25,69.8,5.82
Vanavara,100,RU,1584160655,93,60.34,102.28,32.23,10.58
Kiunga,88,PG,1584160862,95,-6.12,141.29,81.81,4.23
Cabra,90,ES,1584160862,93,37.47,-4.44,55.4,4.7
Pirovskoye,80,RU,1584160862,96,57.63,92.27,33.4,8.37
Isangel,75,VU,1584160862,63,-19.55,169.27,91.4,11.41
Along,20,IN,1584160862,36,28.17,94.77,83.12,2.64
Amga,100,RU,1584160862,87,60.9,131.96,0.27,7.34
Talara,56,PE,1584160862,91,-4.58,-81.27,75.7,6.46
Katangli,93,RU,1584160863,88,51.71,143.23,20.3,2.35
Presidencia Roque Sáenz Peña,100,AR,1584160863,47,-26.79,-60.44,82.83,6.55
Pasinler,75,TR,1584160863,93,39.98,41.68,37.4,2.24
Ranong,75,TH,1584160863,56,9.97,98.63,93.2,5.82
Southbridge,1,US,1584160742,51,42.08,-72.03,45.0,23.04
Yangi Marg`ilon,84,UZ,1584160863,50,40.43,71.72,53.6,2.24
Hūn,68,LY,1584160863,31,29.13,15.95,57.83,5.77
Micomeseng,79,GQ,1584160864,98,2.15,10.62,71.62,0.18
Mazara del Vallo,72,IT,1584160864,81,37.66,12.59,60.01,3.36
Erdenet,20,MN,1584160864,84,49.03,104.08,30.61,4.16
Kupang,40,ID,1584160586,79,-10.17,123.58,87.8,6.93
Quelimane,90,MZ,1584160864,94,-17.88,36.89,77.0,4.7
Zambezi,96,ZM,1584160864,94,-13.54,23.1,68.81,3.65
Cheremnoye,84,RU,1584160864,69,53.17,83.21,33.8,15.66
